                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5927,                 2.9579,                 1.3368,                0.98208,                0.40751,                0.42031,                0.23902,                 1.2675,                  2.805,                 1.2487,             0.00054826,             0.00054826,             0.00054826
                      2,                 1.4971,                 1.9655,                 1.2563,                 0.9695,                0.40816,                0.44321,                0.23779,                 1.6101,                  1.513,                  1.528,              0.0011028,              0.0011028,              0.0011028
                      3,                 1.5624,                 1.6811,                 1.2918,                0.88676,                0.36364,                0.44145,                0.22196,                 1.4313,                 1.3099,                 1.3441,              0.0016531,              0.0016531,              0.0016531
                      4,                 1.5497,                 1.4985,                 1.3071,                   0.96,                0.43182,                0.46491,                0.27072,                 1.3688,                 1.2775,                 1.3105,              0.0016524,              0.0016524,              0.0016524
                      5,                 1.4803,                 1.2743,                 1.2738,                0.99166,                0.44679,                0.47481,                   0.28,                 1.2662,                 1.0095,                 1.2654,              0.0016524,              0.0016524,              0.0016524
                      6,                  1.465,                 1.2083,                 1.2641,                  0.984,                0.45825,                0.47842,                0.29175,                 1.2609,                0.84019,                 1.2746,              0.0016411,              0.0016411,              0.0016411
                      7,                 1.4323,                 1.1387,                 1.2551,                0.95151,                 0.4585,                0.55789,                0.32358,                 1.1766,                0.90778,                 1.2223,              0.0016266,              0.0016266,              0.0016266
                      8,                 1.3955,                 1.0639,                 1.2221,                0.94941,                0.45076,                0.49003,                 0.3032,                    1.3,                0.88773,                 1.3335,              0.0016091,              0.0016091,              0.0016091
                      9,                 1.3623,                 1.0359,                 1.2162,                0.97021,                0.45455,                0.49656,                0.29526,                 1.2069,                 0.8542,                 1.2869,              0.0015885,              0.0015885,              0.0015885
                     10,                 1.3702,                 1.0435,                 1.2382,                0.98391,                0.45455,                0.56644,                0.34672,                 1.1446,                0.90858,                 1.2391,              0.0015649,              0.0015649,              0.0015649
                     11,                 1.3533,                 1.0228,                 1.2135,                0.96558,                0.44697,                0.61407,                0.36121,                 1.1855,                0.80394,                 1.2205,              0.0015385,              0.0015385,              0.0015385
                     12,                 1.3572,                0.95852,                 1.1963,                0.96886,                0.45632,                0.54931,                0.34307,                 1.1067,                 0.7746,                 1.2195,              0.0015094,              0.0015094,              0.0015094
                     13,                 1.3162,                0.99561,                 1.2047,                0.97263,                0.45794,                0.63368,                0.34611,                 1.1239,                0.76385,                 1.2272,              0.0014776,              0.0014776,              0.0014776
                     14,                 1.2859,                0.92797,                 1.1822,                0.40847,                0.57955,                0.59115,                0.36687,                 1.1236,                0.76179,                 1.2143,              0.0014434,              0.0014434,              0.0014434
                     15,                 1.2642,                0.91448,                 1.1723,                0.97754,                0.45455,                 0.5252,                0.32743,                 1.1144,                0.68209,                 1.1938,              0.0014067,              0.0014067,              0.0014067
                     16,                  1.301,                0.93483,                 1.1934,                0.43365,                0.62121,                0.54227,                0.34682,                 1.1102,                0.70175,                  1.194,              0.0013678,              0.0013678,              0.0013678
                     17,                 1.2778,                0.91621,                 1.1873,                0.96819,                0.47348,                0.55545,                0.34556,                 1.0551,                0.70825,                 1.1996,              0.0013269,              0.0013269,              0.0013269
                     18,                 1.2551,                0.88718,                 1.1666,                 0.9796,                0.47727,                0.57629,                0.35137,                 1.1262,                0.68517,                 1.2111,               0.001284,               0.001284,               0.001284
                     19,                 1.1923,                0.83651,                 1.1404,                0.48797,                0.67045,                0.56304,                0.35369,                0.97486,                0.69043,                 1.1743,              0.0012394,              0.0012394,              0.0012394
                     20,                 1.2233,                0.86221,                 1.1421,                0.53085,                0.65909,                0.56675,                0.35122,                 1.0494,                0.72627,                 1.2079,              0.0011932,              0.0011932,              0.0011932
                     21,                  1.192,                0.83873,                 1.1213,                0.98459,                0.47644,                0.59286,                0.38824,                 1.0165,                0.66767,                 1.1629,              0.0011456,              0.0011456,              0.0011456
                     22,                 1.1995,                0.82855,                 1.1328,                0.51885,                  0.625,                0.61821,                0.38176,                 1.0799,                0.64874,                 1.1908,              0.0010968,              0.0010968,              0.0010968
                     23,                 1.1584,                0.80117,                 1.1247,                0.53417,                0.61914,                0.57348,                0.36947,                0.99698,                0.62705,                 1.1693,               0.001047,               0.001047,               0.001047
                     24,                 1.1654,                0.79103,                 1.1199,                0.62007,                0.57576,                0.61572,                0.40495,                 0.9538,                  0.612,                 1.1739,             0.00099646,             0.00099646,             0.00099646
                     25,                 1.1524,                0.78838,                 1.1205,                0.71374,                0.71212,                0.69431,                0.44541,                0.92081,                0.60425,                 1.1564,             0.00094526,             0.00094526,             0.00094526
                     26,                 1.1355,                0.75893,                 1.1049,                0.72818,                0.71591,                 0.7147,                0.45496,                0.94529,                0.59661,                  1.144,             0.00089365,             0.00089365,             0.00089365
                     27,                 1.1483,                 0.7452,                 1.1188,                0.64406,                0.61364,                0.62878,                0.39638,                0.92415,                0.60289,                 1.1546,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.1172,                0.73794,                 1.0996,                0.66585,                 0.6941,                0.68676,                0.42314,                0.97956,                 0.6025,                 1.1695,             0.00079002,             0.00079002,             0.00079002
                     29,                 1.1228,                0.72703,                 1.1002,                0.69912,                0.66667,                0.64283,                0.40714,                0.96665,                0.56469,                  1.157,             0.00073841,             0.00073841,             0.00073841
                     30,                  1.085,                0.70341,                   1.08,                0.62095,                0.66288,                0.64112,                0.40131,                0.96276,                0.62881,                  1.167,             0.00068721,             0.00068721,             0.00068721
                     31,                 1.0769,                0.70671,                  1.071,                0.62865,                0.64463,                0.68263,                0.40556,                 1.0035,                0.72863,                 1.1642,             0.00063662,             0.00063662,             0.00063662
                     32,                  1.081,                0.72289,                 1.0817,                0.72125,                0.66667,                 0.6763,                0.44917,                0.90495,                0.57679,                 1.1456,             0.00058684,             0.00058684,             0.00058684
                     33,                 1.0552,                0.67561,                 1.0676,                0.78491,                0.74547,                0.72024,                0.44906,                0.93372,                0.57236,                 1.1525,             0.00053807,             0.00053807,             0.00053807
                     34,                 1.0678,                0.69385,                 1.0791,                0.73938,                0.75758,                0.73284,                0.44109,                0.84705,                0.55028,                 1.1371,              0.0004905,              0.0004905,              0.0004905
                     35,                 1.0912,                0.69691,                 1.0866,                0.81562,                0.71591,                0.73293,                0.46215,                0.92708,                0.54336,                 1.1291,             0.00044431,             0.00044431,             0.00044431
                     36,                  1.063,                0.69388,                 1.0742,                0.76173,                0.66227,                0.70531,                0.45902,                0.91102,                 0.5638,                 1.1436,             0.00039969,             0.00039969,             0.00039969
                     37,                 1.0592,                0.65393,                 1.0752,                0.89226,                0.76136,                 0.8061,                 0.4826,                0.99559,                0.58209,                 1.1362,             0.00035682,             0.00035682,             0.00035682
                     38,                 1.0131,                0.66088,                 1.0539,                 0.9913,                0.76011,                0.80382,                0.51239,                0.96679,                0.54546,                 1.1292,             0.00031586,             0.00031586,             0.00031586
                     39,                 1.0215,                0.65389,                 1.0585,                0.77959,                0.71591,                0.74979,                0.47773,                0.91574,                0.52529,                 1.1157,             0.00027697,             0.00027697,             0.00027697
                     40,                0.99041,                0.63411,                 1.0429,                 0.7718,                0.76136,                0.75105,                0.48743,                0.91919,                0.54883,                 1.1175,             0.00024032,             0.00024032,             0.00024032
                     41,                0.93567,                0.54554,                 1.0518,                0.85738,                0.70887,                0.79756,                0.54234,                0.94075,                0.50021,                 1.1209,             0.00020603,             0.00020603,             0.00020603
                     42,                0.91308,                0.52241,                 1.0369,                0.78169,                0.80682,                 0.7587,                0.52093,                0.91849,                0.50422,                 1.1241,             0.00017426,             0.00017426,             0.00017426
                     43,                0.89849,                0.51463,                 1.0302,                 0.8111,                0.78511,                0.81601,                0.55644,                0.90759,                0.52494,                  1.116,             0.00014513,             0.00014513,             0.00014513
                     44,                0.90117,                0.51824,                 1.0378,                0.79376,                0.80682,                0.82485,                 0.5739,                0.90314,                0.50875,                 1.1221,             0.00011874,             0.00011874,             0.00011874
                     45,                0.89597,                0.49188,                 1.0303,                 0.8266,                 0.7999,                0.81177,                0.58766,                0.91245,                0.50125,                 1.1166,             9.5203e-05,             9.5203e-05,             9.5203e-05
                     46,                 0.8881,                0.48839,                 1.0245,                0.81276,                 0.7943,                0.82651,                0.59598,                0.89721,                0.48892,                 1.1143,             7.4616e-05,             7.4616e-05,             7.4616e-05
                     47,                0.88106,                0.49422,                 1.0144,                0.80924,                0.74979,                0.83211,                0.58074,                0.89808,                0.49311,                 1.1161,             5.7056e-05,             5.7056e-05,             5.7056e-05
                     48,                0.89097,                0.48687,                 1.0234,                0.79774,                0.80452,                  0.815,                 0.5865,                0.89295,                0.48975,                 1.1089,             4.2594e-05,             4.2594e-05,             4.2594e-05
                     49,                0.87646,                0.49001,                 1.0231,                0.87457,                0.76378,                0.83736,                0.59895,                0.88228,                0.48633,                 1.1104,             3.1286e-05,             3.1286e-05,             3.1286e-05
                     50,                0.85061,                 0.4755,                 1.0086,                0.93266,                0.79194,                0.84108,                0.60888,                0.89051,                 0.4761,                 1.1067,             2.3177e-05,             2.3177e-05,             2.3177e-05
